sigla,seccion,nombre,codigo_completo
LCL080,1,PRACTICA DE LA ORALIDAD EN INGLES EN CONTEXTOS SOCIALES-PROFESIONALES,LCL080-1
LCL085,1,INTRODUCCION A LA LENGUA DE SEÑAS 2,LCL085-1
LCL093,1,INTRODUCCION A LA LENGUA DE SEÑAS,LCL093-1
LCL093,2,INTRODUCCION A LA LENGUA DE SEÑAS,LCL093-2
LCL093,3,INTRODUCCION A LA LENGUA DE SEÑAS,LCL093-3
MUS084,1,DANZAS TRADICIONALES DE CHILE,MUS084-1
MUS084,2,DANZAS TRADICIONALES DE CHILE,MUS084-2
MUS096,1,CANTO Y MUSICA TRADICIONAL,MUS096-1
PER013,1,CHILE UN PAIS QUE ENVEJECE: UNA MIRADA COMUNICACIONAL A UN PROBLEMA PAIS,PER013-1
QUI010,1,LOGICA Y ARGUMENTACION CIENTIFICA,QUI010-1
QUI011,1,MEDIO AMBIENTE Y SOSTENIBILIDAD,QUI011-1
TEM010,1,BIOSEGURIDAD,TEM010-1
TEO020,1,DOCTRINA SOCIAL DE LA IGLESIA. ETICA SOCIAL PARA EL SIGLO XXI,TEO020-1
TSL020,1,GEOGRAFIA DE LA POBREZA Y DE LA DESIGUALDAD SOCIAL,TSL020-1
VRA030,1,CREACION DIGITAL: DE LA IDEA AL PROTOTIPO,VRA030-1
VRA035,1,EMPRENDER CON CIENCIA Y TECNOLOGIA,VRA035-1
